Sentence,Aspect,Polarity
giá size vừa .,"['DRINKS#PRICES', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#PRICES': 'neutral'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
nhưng nói_chung cũng hơi đắt .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'negative'}]
mình ăn rất hôi mùi dầu .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
mình ăn chưa baoh thấy mùi hôi hải_sản .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
dĩa vs lon revive mà có thui .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'positive'}]
ở đây ngay khu vắng nên khách cũng không đông mấy .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"quán đông lắm , gọi món phải đợi hơi lâu , ko biết phải tại mình đi trễ ko , nhưng_mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết .","['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'negative'}]"
"mình uống trà sữa lài hạnh_nhân khá thơm nha , vị hạnh_nhân không đậm mấy nhưng mùi lài khá thơm , đậm vị trà hơi đắng nhẹ , độ ngọt vừa_phải .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"không_gian trang_trí đơn giàn mà ấm_cúng , nên mình cực thích .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
chè lạnh thì hình_như lúc_nào cũng là sương sa sương sáo hột lựu .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
bánh bé xíu xiu deco siêu đẹp ko nỡ ăn luôn .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"nhân_viên phục_vụ chu_đáo , nhẹ_nhàng .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
đồ_ăn rất tươi và nêm nếm rất rất rất vừa khẩu_vị của mình .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
mình đã ăn được lần rồi và sẽ còn ghé lại ăn tiếp .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"mới đi chi_nhánh hàm nghi thôi_thì thấy ở đây setup các thứ theo phong_cách cổ_xưa , bàn_ghế , nền nhà cũng như các item đều mang hơi_hướng hoài_niệm .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
chỗ để xe_hơi chật nhưng trên phố nên cũng không_thể rộng hơn được .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'neutral'}]
tuy giá hơi cao xíu nhưng chất_lượng thì xứng_đáng vô_cùng .,"['RESTAURANT#PRICES', 'RESTAURANT#GENERAL']","[{'RESTAURANT#PRICES': 'negative'}, {'RESTAURANT#GENERAL': 'positive'}]"
nhìn_chung hôm đó mình cũng hài_lòng rồi .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
nhưng với giá thì không_thể đòi_hỏi được gì rồi .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
nồi lầu riêu cua chỉ có đĩa rau và chưa có đồ nhúng đã là rồi .,['FOOD#PRICES'],[{'FOOD#PRICES': 'negative'}]
giá từ .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
hình_như hôm ấy mình gọi cơm được tặng thêm khoai .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"nghe giới thiêu quán có thêm các loại topping nên gọi trà đen trân_châu trắng , trà có vị hoa_hồng hơi nồng , nên sẽ có một_số ng ko hợp vị này lắm .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'negative'}, {'DRINKS#STYLE&OPTIONS': 'positive'}]"
"đồ_ăn thì ngon , mình nhớ là chủ_yếu nhiều món tây , nhưng không lo vì tây hay ta người vn đều ăn được .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
cùng hệ_thống với al fresco ' s mà chất_lượng bên chênh_lệch nhau quá lớn như_vậy,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
có dịp sẽ tới ủn hộ dài_dài,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
", món salad bò nướng đúng ngon luôn , mà có_lẽ nên gọi bò salad đúng hơn í vì bò nhiều ơi là nhiều , gia_vị có giấm táo chua_ngọt dễ ăn cực_kỳ .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
